2026-06-04 12:04:50.410 MSK [6360] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/363ABA8
2026-06-04 12:04:50.411 MSK [6360] СООБЩЕНИЕ:  неверная длина записи в позиции 0/363ACE8: ожидалось минимум 24, получено 0
2026-06-04 12:04:50.411 MSK [6360] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/363ACB0, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2026-06-04 12:04:50.431 MSK [6496] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2026-06-04 12:04:50.493 MSK [6496] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 3; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.004 сек., синхр.=0.002 сек., всего=0.073 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/363ACE8, lsn redo=0/363ACE8
2026-06-04 12:04:50.509 MSK [6624] СООБЩЕНИЕ:  система БД готова принимать подключения
2026-06-04 12:09:50.505 MSK [6496] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 12:09:51.111 MSK [6496] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.566 сек., синхр.=0.013 сек., всего=0.607 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.006 сек., средняя=0.003 сек.; расстояние=13 КБ, ожидалось=13 КБ; lsn=0/363E310, lsn redo=0/363E2B8
2026-06-04 12:29:50.152 MSK [6496] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 12:29:50.736 MSK [6496] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.550 сек., синхр.=0.009 сек., всего=0.596 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=7 КБ, ожидалось=12 КБ; lsn=0/36400E0, lsn redo=0/3640088
2026-06-04 12:34:50.775 MSK [6496] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 12:34:51.413 MSK [6496] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.612 сек., синхр.=0.005 сек., всего=0.638 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 КБ, ожидалось=12 КБ; lsn=0/3641F78, lsn redo=0/3641F20
2026-06-04 12:49:50.443 MSK [6496] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 12:49:51.025 MSK [6496] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.563 сек., синхр.=0.007 сек., всего=0.582 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=8 КБ, ожидалось=11 КБ; lsn=0/3643FC8, lsn redo=0/3643F70
2026-06-04 13:13:18.526 MSK [6496] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 13:13:20.895 MSK [6496] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.559 сек., синхр.=0.004 сек., всего=2.369 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 КБ, ожидалось=11 КБ; lsn=0/3646670, lsn redo=0/3646618
2026-06-04 13:28:32.383 MSK [6496] СООБЩЕНИЕ:  выключение
2026-06-04 13:28:32.387 MSK [6624] СООБЩЕНИЕ:  получен запрос на быстрое выключение
2026-06-04 13:28:35.347 MSK [6496] СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2026-06-04 13:28:35.355 MSK [6624] СООБЩЕНИЕ:  прерывание всех активных транзакций
2026-06-04 13:28:35.441 MSK [4108] ОШИБКА:  выполнение оператора отменено по запросу пользователя
